"number","title","pageid","namespace","length","touched"
"1","NASA","1890","","2099","20200312175805"
"2","NATO","2036","","3996","20200518103801"
"3","USSR","2037","","4379","20200416234621"
"4","EU","2058","","3753","20200702085329"
"5","UdSSR","2061","","308","20200613161731"
"6","LED","2062","","2679","20200531162209"
"7","DVD","2063","","4627","20200608191026"
"8","Aborigine","2177","","3202","20191001072013"
"9","Uhr","2179","","3610","20190929151102"
"10","SMS","2244","","5853","20200614174318"
"11","Ukraine","2763","","9572","20200702060435"
"12","Schadenfreude","3169","","1409","20191001150250"
"13","Bestellung","17903","","287","20191014085723"
"14","Kugelschnecke","18770","","462","20191231144819"
"15","Kugel","18771","","3073","20200528013441"
"16","NSDAP","26204","","1887","20200107151016"
"17","CD","26224","","8915","20200619100559"
"18","Wissenschaft","27626","","8954","20200301153806"
"19","Feder","29387","","1115","20191001072822"
"20","Straße","29401","","3350","20200309115326"
"21","U-Bahn","29409","","510","20191126235422"
"22","Zigarette","32495","","807","20191014090135"
"23","Maus","33402","","2024","20200625172512"
"24","Nike","33413","","2313","20200507131902"
"25","Schelde","33498","","566","20200601160130"
"26","Sohle","33576","","893","20200401130231"
"27","Talsohle","33584","","478","20191026133447"
"28","Michelle","34423","","1777","20200503001151"
"29","Verona","35499","","5252","20200520051214"
"30","Brustwarze","36484","","370","20191014090825"
"31","Sofia","36852","","7433","20200418125706"
"32","Warenwirtschaft","36912","","247","20200101213125"
"33","Nacktschnecke","36960","","325","20191014090931"
"34","Python","37286","","7603","20200124110453"
"35","Baskenmütze","37340","","350","20191014091029"
"36","Pickelhaube","37626","","377","20200101004408"
"37","Bretagne","37714","","1979","20200610195048"
"38","Menge","37834","","547","20190929214811"
"39","Kuh","37864","","2062","20191222223720"
"40","Welt","37865","","1978","20200524011053"
"41","Teilung","37867","","945","20200525202804"
"42","Abteilung","37868","","764","20200610080824"
"43","Pflanze","37874","","1524","20200625142908"
"44","Sehnsucht","37881","","1515","20190928122913"
"45","Birne","37895","","1337","20191017121931"
"46","Landkarte","37900","","326","20200215173605"
"47","Stadt","37909","","2035","20191203170603"
"48","Leber","37911","","665","20191022005116"
"49","Freude","37922","","1836","20191112094242"
"50","Insel","37963","","3286","20191001073054"
"51","Schlucht","37967","","1627","20190929214903"
"52","Herbst","38150","","1034","20191001073101"
"53","Abart","38215","","420","20191014091248"
"54","Gabel","38374","","844","20200601031643"
"55","Kutsche","38406","","915","20200131202240"
"56","Lyssa","38423","","1028","20200418125718"
"57","Johannisbeere","38469","","857","20200626215130"
"58","Venus","38599","","17545","20200405011650"
"59","Ärztin","38676","","1492","20191127230032"
"60","Asche","38677","","527","20190929215308"
"61","Nacht","38685","","3637","20200521043431"
"62","Bache","38728","","1909","20200414011610"
"63","Seele","38737","","1127","20200119052126"
"64","Botschaft","38746","","938","20200203134652"
"65","Backe","38749","","865","20191006011422"
"66","Zerstörung","38806","","299","20200102003956"
"67","Zibbe","38808","","1254","20191014092457"
"68","Notbeleuchtung","38849","","659","20200512141216"
"69","Nebel","38869","","1755","20200127182100"
"70","Nützlichkeit","38906","","283","20200706171209"
"71","Rebe","38936","","692","20200127004035"
"72","Waffe","39236","","5033","20200207085943"
"73","Autobahn","39499","","557","20191014091554"
"74","Gesundheit","39611","","1758","20191014091614"
"75","Teresa","41227","","4567","20200505192443"
"76","Zeit","41841","","8834","20200406192120"
"77","Fuchs","41949","","5390","20200625174409"
"78","Basel-Stadt","43992","","634","20200111171715"
"79","Basel-Landschaft","43995","","320","20191014092348"
"80","tour_de_force","44212","","2061","20190928125446"
"81","Martha","45729","","5114","20200705185943"
