"number","title","pageid","namespace","length","touched"
"1","April","113","","14378","20200516035506"
"2","September","118","","12403","20200606080109"
"3","November","120","","12452","20200606080351"
"4","Dezember","1782","","1488","20191223165756"
"5","Aborigine","2177","","3202","20191001072013"
"6","Iran","2358","","14275","20200522004552"
"7","Niger","2660","","9956","20200710194347"
"8","Sudan","2747","","8276","20200509233626"
"9","Senegal","2752","","7952","20200626055355"
"10","Jupiter","3164","","16612","20200622175412"
"11","Jordan","3191","","11598","20200616032235"
"12","Chinese","3671","","45581","20200626120150"
"13","Samstag","4081","","1637","20191014084403"
"14","Leon","6443","","2713","20200601155953"
"15","Moslem","6739","","1402","20200421133010"
"16","Muslim","6740","","15343","20200706155245"
"17","Taiwaner","7906","","370","20200101162833"
"18","Rom","8348","","9171","20200616032309"
"19","Apfel","16850","","1166","20200517210055"
"20","Warenkorb","17901","","364","20200101212916"
"21","Vietnamese","17909","","8731","20200112064513"
"22","Sonnabend","21336","","1558","20191014085759"
"23","Papierflieger","21617","","396","20191014085801"
"24","Honig","27609","","1126","20200504121709"
"25","Fisch","28255","","6473","20200628193316"
"26","Nike","33413","","2313","20200507131902"
"27","Albert","33445","","7677","20200508010721"
"28","Michael","33732","","14609","20200621095025"
"29","Nachtwächter","33837","","473","20191103164902"
"30","Christ","33981","","10919","20200619101609"
"31","Wodka","34101","","369","20191014091542"
"32","Christopher","34180","","5372","20200621094606"
"33","Milan","35356","","5852","20200630183621"
"34","Zeitgeist","35554","","1351","20200605094206"
"35","Tanach","35838","","569","20191010050020"
"36","Israeli","36025","","6548","20200507190500"
"37","Liechtensteiner","36400","","2045","20191014090756"
"38","Mittag","36470","","1674","20191006011215"
"39","Moses","37029","","7479","20200620163707"
"40","Allah","37048","","10896","20200513084856"
"41","Gaul","37069","","5621","20200610094653"
"42","Hesse","37161","","3713","20200616032824"
"43","Python","37286","","7603","20200124110453"
"44","Baske","37339","","583","20191014091028"
"45","Tisch","37443","","2201","20191001073039"
"46","Schneeball","37589","","722","20191026134211"
"47","Westen","37866","","1566","20200530045214"
"48","Wermut","37869","","451","20200126115323"
"49","Witz","37930","","1792","20200407215412"
"50","Schmäh","37931","","504","20191109153024"
"51","Affe","37962","","1888","20200610231211"
"52","Geist","37972","","1438","20200704130251"
"53","Jesus","38139","","20779","20200624092930"
"54","Herbst","38150","","1034","20191001073101"
"55","Frühling","38151","","989","20191001073103"
"56","Büffel","38210","","999","20200630210651"
"57","Bube","38211","","1660","20191014091246"
"58","Garten","38381","","7742","20191001073112"
"59","Käfer","38402","","931","20200404012032"
"60","Luxus","38424","","737","20191014091324"
"61","Ysop","38485","","787","20190711015645"
"62","Sabbat","38568","","4604","20200310185029"
"63","Zabel","38665","","280","20200102081906"
"64","Zahn","38670","","2397","20200421192834"
"65","Zahnarzt","38673","","510","20200113153242"
"66","Arzt","38674","","1476","20200606071821"
"67","Präsident","38688","","2161","20200328110506"
"68","Bache","38728","","1909","20200414011610"
"69","Bann","38730","","1013","20200111171611"
"70","Besuch","38740","","714","20190929215329"
"71","Boden","38744","","2608","20200701175637"
"72","Bote","38745","","770","20191001073135"
"73","Zucker","38812","","3005","20200519184043"
"74","Narr","38867","","2361","20191013011358"
"75","Nebel","38869","","1755","20200127182100"
"76","Neffe","38870","","479","20191014091445"
"77","Schnee","38872","","3342","20200414012210"
"78","Rappen","38930","","442","20200123003004"
"79","Räuber","38932","","661","20191025065629"
"80","Raum","38933","","3926","20200608081353"
"81","Eskimo","38981","","12786","20200615063616"
"82","Pharao","39019","","1319","20191211123147"
"83","Magyar","39072","","1164","20200704040806"
"84","Ehebruch","39224","","597","20191026111443"
"85","Weltschmerz","39614","","1090","20200521135734"
"86","Schmerz","39618","","1760","20191001073207"
"87","Saturn","39728","","12469","20200504074656"
"88","Aaron","40487","","9223","20200628224620"
"89","Schelm","40587","","586","20191014091809"
"90","Eigenname","40601","","710","20191014091812"
"91","Buddha","40769","","11004","20200601170024"
"92","Buddhist","40772","","6443","20200107142722"
"93","Maya","41493","","6766","20200418130000"
"94","Krümel","41838","","1375","20200212181710"
"95","Zeit","41841","","8834","20200406192120"
"96","Fuchs","41949","","5390","20200625174409"
"97","Käse","42231","","1454","20200529113740"
"98","Thomas","43507","","17111","20200523233427"
"99","Joseph","43509","","14434","20200705151219"
"100","Gigant","43526","","261","20190929221910"
"101","Aargau","43985","","759","20191006012048"
"102","Uranus","44012","","11227","20200628165356"
"103","Pluto","44014","","11443","20200427090804"
"104","Tigris","44044","","5391","20200427095013"
"105","Jura","44069","","6633","20200513234137"
"106","Thurgau","44078","","745","20200513233555"
"107","Zug","44087","","2837","20200513234459"
"108","Aufzug","44088","","512","20191014092406"
"109","Sokrates","44280","","1625","20191014092428"
"110","Schatz","44415","","2060","20200530234932"
"111","Piemontese","45345","","728","20190314142352"
"112","Islamist","45641","","2812","20191014092554"
"113","Paul","46143","","10393","20200701174536"
"114","Reifen","47439","","901","20200621174943"
"115","Schlüssel","48625","","5295","20200504134815"
"116","Adler","48764","","5225","20200514065021"
"117","Orden","48852","","1348","20200409112132"
"118","Jeep","49310","","663","20200614200929"
"119","Beelzebub","49503","","3395","20200616174314"
"120","Peter","50152","","19716","20200520043937"
"121","Leiter","50313","","4889","20191116110759"
"122","Wasserstoff","50465","","1862","20191030220044"
"123","Hubschrauber","50469","","386","20191014093124"
"124","Helikopter","50470","","324","20191014093125"
"125","Menschenaffe","50719","","696","20200610072808"
"126","Andreas","51986","","6908","20200705092507"
"127","David","52485","","12667","20200625045444"
"128","Kraut","53058","","3671","20200619165240"
"129","Charakter","53121","","2588","20200523005845"
"130","Akkord","53430","","1324","20191014093647"
"131","Wein","53435","","1472","20200225201348"
"132","Turm","53531","","2869","20200106192004"
"133","Drache","53542","","1384","20200313163359"
"134","Sony","54832","","3776","20200113015825"
"135","Maler","55999","","2571","20200329091829"
"136","Emmentaler","56005","","1005","20190929225439"
"137","Robert","56170","","8212","20200613125341"
"138","Spannungsbogen","57230","","543","20191001150338"
"139","Löwe","57397","","1279","20200605111835"
"140","Moskito","57760","","1149","20191014094213"
"141","Hirschkäfer","57795","","577","20191018125830"
"142","Krieg","58519","","5703","20200412211436"
"143","Gollum","58841","","3471","20200422001139"
"144","Herr","63124","","6651","20191219122452"
"145","Odin","64838","","3907","20200708220737"
"146","Außenminister","65233","","546","20191006013318"
"147","Zugzwang","65284","","635","20191014095252"
"148","Bestandteil","65315","","929","20191016121922"
"149","Ares","65479","","3836","20200427063413"
"150","Satan","65489","","13058","20200623230540"
"151","Familienname","65541","","350","20200613114635"
"152","Monotheismus","65699","","316","20191014095334"
"153","Teufel","65713","","1782","20200401204438"
"154","Grundbegriff","66765","","347","20200520113144"
"155","Phasenhub","66984","","76","20170621125450"
"156","Sommer","67111","","1782","20200616032934"
"157","Vandalismus","67112","","363","20191014095601"
"158","Mönch","67358","","694","20191222193139"
"159","SUV","67433","","2065","20191130175059"
"160","Baum","67493","","3339","20200521050800"
"161","Belgier","68262","","334","20191014095735"
"162","Keiler","68479","","320","20200523160235"
"163","Frischling","68482","","663","20191014095754"
"164","Eber","68484","","1355","20200402165049"
"165","Zion","69304","","2341","20200525193306"
"166","Kren","69454","","586","20200109155008"
"167","Singhalese","69984","","542","20190930110848"
"168","Oliver","70011","","8784","20200515145508"
"169","Windschatten","70492","","266","20190318024631"
"170","Irak","70994","","7735","20200509215056"
"171","Panzer","71583","","1537","20200526224155"
"172","Kessel","71587","","2749","20200705152740"
"173","Exodus","72191","","8264","20200519111045"
"174","IWF","72238","","476","20200405012141"
"175","Missouri","72755","","5921","20200513154030"
"176","Simon","73080","","7627","20200302195414"
"177","Rhododendron","73300","","1137","20200422010714"
"178","Rhein","74933","","717","20191012073014"
"179","Toyota","74973","","2243","20200317010318"
"180","Peugeot","74975","","2136","20200211062102"
"181","Eid","75152","","3474","20200111172327"
"182","Zionist","75957","","4340","20200204205321"
"183","Schwenkbügel","77389","","121","20170525005727"
"184","Führer","77637","","6558","20200327203420"
"185","Geschäftsablauf","78289","","257","20170525005849"
"186","Geschäftsgang","78292","","270","20191014101220"
"187","Wechselvordruck","78629","","127","20170525005914"
"188","Einstein","79709","","5303","20200619180950"
"189","Popsicle","81563","","644","20200630195236"
"190","Günter","81901","","208","20191005153303"
"191","Tommy","83984","","4252","20200101174925"
"192","Traum","84839","","1419","20191120164803"
"193","Junge","85227","","2101","20191004103516"
"194","Lehrer","85233","","4604","20200521202503"
"195","Büstenhalter","86854","","426","20191006014910"
"196","Vater","87550","","1173","20191014102337"
"197","Vogel","87553","","4847","20200616033052"
"198","Wurm","87557","","1671","20200516160407"
"199","Wald","87561","","1611","20200206052718"
"200","Fuß","87576","","2254","20200526224302"
"201","Fußboden","87578","","688","20191014102342"
"202","Fußfall","87579","","307","20191014102342"
"203","Sarg","87829","","665","20191014102409"
"204","Kopf","87887","","2873","20200620183515"
"205","März","89240","","597","20191022153024"
"206","Poseidon","89638","","2480","20200101012152"
"207","Geburtstag","89722","","692","20191026114152"
"208","Gräber","90214","","617","20191018173243"
"209","Kummer","90225","","1510","20200217170627"
"210","Zorn","90230","","885","20191113024732"
"211","Schiedsrichter","90232","","646","20191127074938"
"212","Schiri","90233","","249","20171216203915"
"213","Kernpunkt","90244","","267","20191112114024"
"214","Dienstag","90617","","1260","20200406101854"
"215","Mittwoch","90619","","1774","20200415122758"
"216","Donnerstag","90622","","954","20191014102824"
"217","Freitag","90624","","1115","20200405041505"
"218","Tagtraum","90627","","326","20200101162702"
"219","Marxist","90963","","4286","20200427083149"
"220","Zubehör","91746","","306","20191014103014"
"221","Kontext","93085","","380","20200705155719"
"222","Bedarf","93107","","1755","20191219221704"
"223","Assistent","93156","","932","20191125235307"
"224","Horizont","93185","","914","20200301142042"
"225","Elch","93220","","888","20200403210636"
"226","Gruß","93337","","1806","20200611095326"
"227","Zelle","93339","","1439","20191115124009"
"228","Adrian","94598","","6843","20200126234132"
"229","Handschuh","95009","","1184","20191217134826"
"230","Dummkopf","95537","","480","20191014103509"
"231","Kapitalismus","95619","","1325","20200128190212"
"232","Friedrich","95636","","3984","20200107011010"
"233","Armenier","95825","","265","20191014103529"
"234","Herbert","96775","","2999","20191102061739"
"235","Meister","97932","","2407","20200625171727"
"236","Siamese","97940","","2683","20200419202711"
"237","Dolch","98332","","829","20191001074924"
"238","Scheiß","98826","","656","20190930025150"
"239","Jesuit","99733","","2074","20200519202456"
"240","Freund","100575","","1826","20200228091954"
"241","Abraham","102489","","16397","20200520014332"
"242","Ansatz","102674","","482","20191014032201"
"243","Montag","103178","","1058","20191014104437"
"244","Satanist","103434","","1743","20200710203256"
"245","Napoleon","103465","","6441","20200213075417"
"246","Schuh","104503","","1779","20191226180211"
"247","Übersetzer","104548","","523","20191014104652"
"248","Maria","104609","","19030","20200509150532"
"249","Ludwig","104613","","2301","20200509221305"
"250","Homosexueller","104675","","1007","20191026110407"
"251","Sekretär","104889","","677","20191019143630"
"252","Waffenstillstand","105551","","541","20191006020216"
"253","Kaffee","105552","","5637","20190930030312"
"254","Opal","106941","","3284","20200405041641"
"255","Aal","107163","","1910","20200507185050"
"256","Abakus","107261","","1171","20191014104929"
"257","Abend","107505","","2327","20200318125812"
"258","Ablaut","107658","","711","20191006020250"
"259","Abort","107777","","741","20191014104935"
"260","Absinth","107957","","1482","20190928150002"
"261","Absolvent","108008","","372","20191014104938"
"262","Abt","108126","","559","20200629183027"
"263","Adapter","109210","","399","20191014104944"
"264","Adel","109289","","1833","20200126231651"
"265","Adjutant","109428","","302","20190930030458"
"266","Administrator","109449","","709","20191014104947"
"267","Admiral","109460","","1517","20190930030500"
"268","Advent","109607","","4826","20200526210705"
"269","Affront","109860","","562","20191014104953"
"270","Afrikaner","109902","","4316","20200215223456"
"271","After","109909","","1458","20191014104954"
"272","Agent","109979","","530","20200508172815"
"273","Aggressor","110040","","965","20200529194815"
"274","Agitator","110071","","389","20191014104959"
"275","Alarm","110400","","616","20200629184049"
"276","Albatros","110424","","230","20170525014324"
"277","Albino","110440","","668","20200325194619"
"278","Alchemist","110464","","377","20191014105005"
"279","Ali","110550","","5447","20200616033152"
"280","Alligator","110697","","1521","20190821190845"
"281","Alp","110787","","503","20191005153711"
"282","Alt","110818","","889","20200509090325"
"283","Altar","110820","","1861","20200704002727"
"284","Alter","110824","","3157","20200219125942"
"285","Altruist","110854","","280","20191014105011"
"286","Alveolar","110874","","422","20191112080021"
"287","Amateur","110928","","1324","20200310130650"
"288","Amethyst","111046","","578","20191005153715"
"289","Analphabetismus","111208","","360","20191014105018"
"290","Analyst","111212","","281","20191014105020"
"291","Anarchist","111228","","445","20191014105021"
"292","Android","111305","","1248","20200706180544"
"293","Anime","111418","","314","20200517203343"
"294","Anke","111433","","1481","20200206061041"
"295","Anorak","111501","","269","20191014105027"
"296","Antichrist","111607","","2414","20200511000347"
"297","Anus","111689","","710","20200111031118"
"298","Aperitif","111762","","422","20191014105033"
"299","Apian","111781","","311","20200616033158"
"300","Appel","111879","","2430","20200124043730"
"301","Ar","112096","","773","20191014111401"
"302","Arm","112315","","2750","20200511052319"
"303","Artist","112466","","636","20191014105044"
"304","Assembler","112624","","272","20191014105046"
"305","Asteroid","112694","","259","20191014105047"
"306","Astronaut","112726","","641","20190930034105"
"307","Atem","112805","","847","20200205042103"
"308","Atheist","112814","","252","20191014105051"
"309","Atlas","112839","","9418","20200429183007"
"310","Augur","112981","","339","20191014105055"
"311","August","112985","","16535","20200704131753"
"312","Autobus","113069","","234","20191014105058"
"313","Autor","113105","","729","20200320132628"
"314","Avatar","113149","","300","20190930034113"
"315","Axolotl","113381","","311","20200605202854"
"316","Bach","113645","","4498","20200626004230"
"317","Bachelor","113647","","1388","20200625141908"
"318","Bagel","113805","","411","20200705111356"
"319","Baiser","113865","","415","20200630205253"
"320","Ball","113981","","2042","20200405033411"
"321","Ballast","113990","","545","20191014105108"
"322","Band","114093","","3103","20200616203236"
"323","Baron","114298","","995","20191102043324"
"324","Barren","114315","","273","20200117044625"
"325","Baseball","114342","","417","20200105072018"
"326","Basketball","114377","","874","20200420144351"
"327","Bass","114390","","1343","20200318141647"
"328","Bast","114395","","513","20191024051514"
"329","Bastard","114397","","2765","20191221144346"
"330","Beamer","114588","","3134","20200304005308"
"331","Beck","114669","","2002","20200415200005"
"332","Ben","114934","","1954","20200427063657"
"333","Benedict","114953","","2712","20200625180537"
"334","Benjamin","114985","","11084","20200422211636"
"335","Berg","115084","","3120","20200616033219"
"336","Bikini","115454","","2260","20191014111423"
"337","Blitz","115823","","1512","20191105114049"
"338","Blitzkrieg","115824","","564","20200401025523"
"339","Block","115829","","1620","20200629090628"
"340","Bock","116019","","2723","20200126193916"
"341","Bogen","116059","","2069","20191001075123"
"342","Boiler","116076","","207","20170525014427"
"343","Bonbon","116144","","1594","20200402003524"
"344","Bonsai","116170","","366","20191014105135"
"345","Bonus","116173","","233","20191207070414"
"346","Bonze","116175","","586","20200114042347"
"347","Bord","116240","","1533","20190928150030"
"348","Borg","116257","","3437","20190929022054"
"349","Born","116266","","1100","20200513145404"
"350","Boulevard","116349","","523","20190930034200"
"351","Boxer","116416","","1865","20200310131812"
"352","Brand","116496","","1715","20200626222358"
"353","Brief","116667","","1510","20191113125520"
"354","Brownie","116817","","5824","20190930034207"
"355","Browser","116822","","342","20191014105146"
"356","Bug","116962","","2282","20200313114320"
"357","Bund","117060","","2374","20200610173339"
"358","Burger","117127","","787","20191118111647"
"359","Butler","117240","","3453","20200616033241"
"360","Butter","117248","","2453","20191216150726"
"361","Bär","117363","","4130","20191220201815"
"362","Cabriolet","117519","","484","20200518231441"
"363","Cannabis","117849","","1040","20191014105159"
"364","Canyon","117893","","1054","20200217042815"
"365","Cappuccino","117950","","487","20191014105201"
